Entity,Code,gdp_per_capita,life_expectancy,child_mortality
Afghanistan,AFG,1357.9878,65.617,5.74
Albania,ALB,12978.101,78.7688,0.94
Algeria,DZA,13506.444,76.1289,2.23
Angola,AGO,6118.905,64.2455,6.64
Argentina,ARG,18292.318,75.8061,0.98
Armenia,ARM,13837.577,74.6333,1.05
Australia,AUS,52049.43,82.7662,0.37
Austria,AUT,43792.855,81.2959,0.32
Azerbaijan,AZE,17682.94,74.125,1.94
Bahrain,BHR,38651.6,80.9921,0.84
Bangladesh,BGD,4925.721,74.2647,3.07
Barbados,BRB,11545.848,75.6761,1.04
Belarus,BLR,18699.799,74.3612,0.26
Belgium,BEL,41872.395,81.1589,0.37
Benin,BEN,2477.0903,60.4751,8.04
Bolivia,BOL,6481.3906,67.4342,2.39
Bosnia and Herzegovina,BIH,12142.863,76.7772,0.62
Botswana,BWA,16351.91,68.7487,4.07
Brazil,BRA,14640.076,74.8719,1.46
Bulgaria,BGR,20592.455,74.0342,0.62
Burkina Faso,BFA,1704.966,60.7,7.99
Burundi,BDI,717.22845,62.8819,5.08
Cambodia,KHM,3944.2468,70.528,2.38
Cameroon,CMR,2812.2148,62.4428,6.95
Canada,CAN,45529.645,81.2493,0.51
Cape Verde,CPV,7202.767,75.9068,1.21
Central African Republic,CAF,596.393,18.8177,38.74
Chad,TCD,1393.5635,54.5275,10.43
Chile,CHL,22740.72,79.1762,0.68
China,CHN,19238.18,78.2021,0.66
Colombia,COL,14468.964,76.5081,1.24
Comoros,COM,1900.3983,66.4806,4.11
Congo,COG,4187.507,65.0003,4.19
Costa Rica,CRI,15496.82,79.3164,1.01
Cote d'Ivoire,CIV,4011.7122,61.5622,6.92
Croatia,HRV,26986.752,78.2779,0.46
Cuba,CUB,7648.704,77.6291,0.79
Cyprus,CYP,31523.498,80.4337,0.35
Czechia,CZE,32247.395,79.1648,0.27
Democratic Republic of Congo,COD,844.172,60.9789,7.57
Denmark,DNK,50689.68,81.2906,0.35
Djibouti,DJI,3623.0603,65.5402,5.22
Dominica,DMA,8879.6455,71.0806,3.51
Dominican Republic,DOM,17713.52,74.2108,3.22
Ecuador,ECU,10124.076,76.5767,1.32
Egypt,EGY,13205.406,71.0097,1.81
El Salvador,SLV,9218.905,71.9695,1.08
Equatorial Guinea,GNQ,22707.22,63.3545,7.34
Estonia,EST,30067.395,78.1674,0.22
Eswatini,SWZ,8522.45,63.0283,4.62
Ethiopia,ETH,2289.409,66.8971,4.82
Finland,FIN,40701.465,81.2435,0.23
France,FRA,39065.71,82.4753,0.43
Gabon,GAB,15720.901,67.713,3.41
Gambia,GMB,2010.5322,64.859,4.56
Georgia,GEO,14360.359,74.1409,0.93
Germany,DEU,46647.793,80.5796,0.37
Ghana,GHA,4242.4106,65.246,3.85
Greece,GRC,25283.906,79.9441,0.38
Guatemala,GTM,7969.431,71.2064,2.21
Guinea,GIN,1809.2666,60.4316,9.78
Guinea-Bissau,GNB,1625.3876,63.6045,7.16
Haiti,HTI,1546.4222,63.9483,5.69
Honduras,HND,5186.5303,72.7151,1.6
Hong Kong,HKG,48289.383,83.4853,
Hungary,HUN,29451.855,76.2118,0.39
Iceland,ISL,42145.594,81.5877,0.26
India,IND,7765.593,71.6984,2.91
Indonesia,IDN,12801.671,70.9246,2.13
Iran,IRN,18473.066,76.7993,1.22
Iraq,IRQ,13071.94,72.0371,2.33
Ireland,IRL,60257.082,82.0505,0.37
Israel,ISR,36648.918,82.8145,0.34
Italy,ITA,36224.293,82.052,0.28
Jamaica,JAM,7481.6685,71.4809,1.93
Japan,JPN,38268.79,84.0541,0.24
Jordan,JOR,9151.479,77.088,1.36
Kazakhstan,KAZ,26491.857,73.5028,0.98
Kenya,KEN,3403.9238,63.5491,4.11
Kuwait,KWT,71533.516,78.7881,0.88
Kyrgyzstan,KGZ,5304.841,71.487,1.72
Laos,LAO,7168.1904,68.7152,4.04
Latvia,LVA,27220.303,74.8706,0.32
Lebanon,LBN,10341.159,78.0029,1.73
Lesotho,LSO,2312.9583,56.8119,6.15
Liberia,LBR,811.2146,61.9342,7.51
Libya,LBY,12755.204,74.4615,1.05
Lithuania,LTU,30863.32,74.696,0.35
Luxembourg,LUX,55484.777,82.2007,0.24
Madagascar,MDG,1367.0938,63.0677,6.57
Malawi,MWI,1190.0509,66.037,3.99
Malaysia,MYS,26628.707,75.4442,0.81
Mali,MLI,1651.9413,60.0347,9.4
Malta,MLT,34496.34,82.2496,0.57
Mauritania,MRT,3680.3662,68.2807,3.91
Mauritius,MUS,20643.094,73.5445,1.55
Mexico,MEX,16235.455,73.9731,1.29
Moldova,MDA,6674.871,71.5465,1.48
Mongolia,MNG,13442.906,71.5049,1.39
Montenegro,MNE,20941.805,75.9214,0.27
Morocco,MAR,8400.127,75.1614,1.72
Mozambique,MOZ,1087.836,63.0115,6.43
Myanmar,MMR,5177.4326,66.5058,4.0
Namibia,NAM,7979.328,64.1903,4.2
Nepal,NPL,3013.5178,70.0869,2.75
Netherlands,NLD,49669.867,81.9121,0.4
